MSH	MSH.Top	Disease	Indication	Category
ichthyosis bullosa of siemens	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Ichthyosis bullosa of Siemens,  "		
ichthyosis follicularis atrichia photophobia syndrome	Nervous System Diseases	"IFAP syndrome with or without BRESHECK syndrome,  "		
"ichthyosis hystrix, curth macklin type"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Ichthyosis histrix, Curth-Macklin type,  "		
ichthyosis prematurity syndrome	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Ichthyosis prematurity syndrome,  "		
ichthyosis vulgaris	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Ichthyosis vulgaris,  "		
"ichthyosis with hypotrichosis, autosomal recessive"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Ichthyosis with hypotrichosis,  "		
"ichthyosis, cyclic, with epidermolytic hyperkeratosis"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Ichthyosis, cyclic, with epidermolytic hyperkeratosis,  "		
"ichthyosis, lamellar, 5"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Ichthyosis, congenital, autosomal recessive 3,  "		
"ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis"	Digestive System Diseases	"Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis,  "		Digestive system
"ichthyosis, x-linked"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Ichthyosis, X-linked,  "		
"ifih1 protein, human or dead-box rna helicases"		*606951 INTERFERON INDUCED WITH HELICASE C DOMAIN PROTEIN 1; IFIH1		
"ige responsiveness, atopic"	Respiratory Tract Diseases	"[IgE levels QTL],  "		
"igfbp3 protein, human"		IGFBP3 levels		
ileal neoplasms		Ileal carcinoids		
iminoglycinuria	Male Urogenital Diseases	"Iminoglycinuria, digenic,  "		
immune complex diseases		Multiple complex diseases		Autoimmune
immune dysfunction with t-cell inactivation due to calcium entry defect 1	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Immune dysfunction with T-cell inactivation due to calcium entry defect 1,  "		
immune dysfunction with t-cell inactivation due to calcium entry defect 2	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Immune dysfunction, with T-cell inactivation due to calcium entry defect 2,  "		
immunodeficiency due to defect in cd3-zeta	Immune System Diseases	"Immunodeficiency due to defect in CD3-zeta,  "		
immunodeficiency due to defect in mapbp-interacting protein	Immune System Diseases	"Immunodeficiency due to defect in MAPBP-interacting protein,  "		
immunodeficiency without anhidrotic ectodermal dysplasia	Immune System Diseases	"Immunodeficiency, isolated,  "		
"immunodysregulation, polyendocrinopathy, and enteropathy, x-linked"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked,  "		
immunoglobulin a deficiency 2	Hemic and Lymphatic Diseases	"Immunoglobulin A deficiency 2,  "		Blood
immunoglobulin e		IgE levels		Autoimmune
impulsive behavior		Hyperactive-impulsive symptoms		
inclusion body myopathy autosomal recessive	Musculoskeletal Diseases	"Inclusion body myopathy, autosomal recessive,  "		
inclusion body myopathy with early-onset paget disease and frontotemporal dementia	Musculoskeletal Diseases	"Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia,  "		
"inclusion body myopathy, autosomal dominant"	Musculoskeletal Diseases	"Inclusion body myopathy-3,  "		
incontinentia pigmenti	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Incontinentia pigmenti, type II,  "		
"indifference to pain, congenital, autosomal recessive"	Nervous System Diseases	"Insensitivity to pain, channelopathy-associated,  "		
"infantile convulsions and paroxysmal choreoathetosis, familial"	Nervous System Diseases	"Convulsions, familial infantile, with paroxysmal choreoathetosis,  "		
inflammatory bowel disease 10	Digestive System Diseases	"{Inflammatory bowel disease 10},  "		Digestive system
inflammatory bowel disease 13	Digestive System Diseases	"{Inflammatory bowel disease 13},  "		Digestive system
inflammatory bowel disease 14	Digestive System Diseases	"{Inflammatory bowel disease 14},  "		Digestive system
inflammatory bowel disease 17	Digestive System Diseases	"{Inflammatory bowel disease 17, protection against},  "		Digestive system
inflammatory bowel disease 19	Digestive System Diseases	"Inflammatory bowel disease 19,  "		Digestive system
"inflammatory bowel disease 25, autosomal recessive"	Digestive System Diseases	"Inflammatory bowel disease 25, early onset, autosomal recessive,  "		Digestive system
"inflammatory bowel disease 28, autosomal recessive"	Digestive System Diseases	"Inflammatory bowel disease 28, early onset, autosomal recessive,  "		Digestive system
"insig2 protein, human"		*608660 INSULIN-INDUCED GENE 2; INSIG2		
"insomnia, fatal familial"	Nervous System Diseases	"Insomnia, fatal familial,  "		
insulin resistance		diabetes related insulin traits		Diabetes
insulin-like growth factor i deficiency	Otorhinolaryngologic Diseases	"Growth retardation with deafness and mental retardation due to IGF1 deficiency,  "		
"insulin-like growth factor i, resistance to"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Insulin-like growth factor I, resistance to,  "		
insulysin		*146680 INSULIN-DEGRADING ENZYME; IDE		
intelligence		Intelligence		Neurological/behavioral
intercellular adhesion molecule-1		Soluble ICAM-1		Miscellaneous
interferon regulatory factor-1		*147575 INTERFERON REGULATORY FACTOR 1; IRF1		
interferon regulatory factor-5		*607218 INTERFERON REGULATORY FACTOR 5; IRF5		
interferon regulatory factor-6		*607199 INTERFERON REGULATORY FACTOR 6; IRF6		
"interleukin 2 receptor, alpha, deficiency of"	Immune System Diseases	"Interleukin-2 receptor, alpha chain, deficiency of,  "		
interleukin-18		Interleukin-18 levels		Miscellaneous
intervertebral disc disease	Musculoskeletal Diseases	"{Intervertebral disc disease, susceptibility to},  "		
"intestinal atresia, multiple"	Digestive System Diseases	"Intestinal atresia, multiple,  "		Digestive system
intracranial aneurysm		Intracranial aneurysm		Cardiovascular
intracranial arteriovenous malformations	Nervous System Diseases	"{Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to},  "		
intracranial hypertension		Intracranial volume		Cardiovascular
intramolecular oxidoreductases		Beta-trace protein levels		Miscellaneous
"intrauterine growth retardation, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies"	Musculoskeletal Diseases	"IMAGE syndrome,  "		
intrinsic factor deficiency	Hemic and Lymphatic Diseases	"Intrinsic factor deficiency,  "		Blood
"invasive pneumococcal disease, recurrent isolated, 1"	Bacterial Infections and Mycoses	"{Pneumococcal disease, invasive, protection against},  "		Infection
"invasive pneumococcal disease, recurrent isolated, 2"	Bacterial Infections and Mycoses	"Invasive pneumococcal disease, recurrent isolated, 2,  "		Infection
irak4 deficiency	Immune System Diseases	"IRAK4 deficiency,  "		
iris diseases		Iris color		Eye
iron deficiency anemia		Serum markers of iron status		Blood
iron metabolism disorders		Iron		
iron-refractory iron deficiency anemia	Hemic and Lymphatic Diseases	"Iron-refractory iron deficiency anemia,  "		Blood
ischiopatellar dysplasia	Musculoskeletal Diseases	"Small patella syndrome,  "		
isobutyryl-coa dehydrogenase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Isobutyryl-CoA dehydrogenase deficiency,  "		
"isolated growth hormone deficiency, type ib"	Musculoskeletal Diseases	"Growth hormone deficiency, isolated, type IB,  "		
"isolated growth hormone deficiency, type ii"	Musculoskeletal Diseases	"Growth hormone deficiency, isolated, type II,  "		
jackson-weiss syndrome	Musculoskeletal Diseases	"Jackson-Weiss syndrome,  "		
jacobs syndrome	Musculoskeletal Diseases	"Camptodactyly-arthropathy-coxa vara-pericarditis syndrome,  "		
jansen type metaphyseal chondrodysplasia	Musculoskeletal Diseases	"Metaphyseal chondrodysplasia, Murk Jansen type,  "		
"jaundice, chronic idiopathic"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Dubin-Johnson syndrome,  "		
jensen syndrome	Otorhinolaryngologic Diseases	"Jensen syndrome,  "		
jervell-lange nielsen syndrome	Cardiovascular Diseases	"Jervell and Lange-Nielsen syndrome 2,  "		Cardiovascular
johanson blizzard syndrome	Digestive System Diseases	"Johanson-Blizzard syndrome,  "		Digestive system
joubert syndrome 1	Nervous System Diseases	"Joubert syndrome 1,  "		
joubert syndrome 10	Nervous System Diseases	"Joubert syndrome 10,  "		
joubert syndrome 2	Nervous System Diseases	"Joubert syndrome 2,  "		
joubert syndrome 3	Nervous System Diseases	"Joubert syndrome-3,  "		
joubert syndrome 4	Nervous System Diseases	"Joubert syndrome 4,  "		
joubert syndrome 5	Nervous System Diseases	"Joubert syndrome 5,  "		
joubert syndrome 6	Nervous System Diseases	"Joubert syndrome 6,  "		
joubert syndrome 7	Nervous System Diseases	"Joubert syndrome 7,  "		
joubert syndrome 8	Nervous System Diseases	"Joubert syndrome 8,  "		
joubert syndrome 9	Nervous System Diseases	"Joubert syndrome 9,  "		
juvenile macular degeneration and hypotrichosis	Eye Diseases	"Hypotrichosis, congenital, with juvenile macular dystrophy,  "		Eye
juvenile polyposis syndrome	Neoplasms	"Polyposis, juvenile intestinal,  "		
juvenile-onset dystonia	Nervous System Diseases	"Dystonia, juvenile-onset,  "		
kabuki syndrome	Otorhinolaryngologic Diseases	"Kabuki syndrome 1,  "		
kahrizi syndrome	Musculoskeletal Diseases	"Kahrizi syndrome,  "		
kallmann syndrome	Male Urogenital Diseases	"Hypogonadotropic hypogonadism 6 with or without anosmia,  "		
kartagener syndrome	Respiratory Tract Diseases	"Ciliary dyskinesia, primary, 1, with or without situs inversus,  "		
keloid		Keloid		Skin & connective tissue
"kenny-caffey syndrome, type 1"	Musculoskeletal Diseases	"Kenny-Caffey syndrome-1,  "		
"keratitis, hereditary"	Eye Diseases	"Keratitis,  "		Eye
keratoacanthoma familial	Neoplasms	"{Multiple self-healing squamous epithelioma, susceptiblity to},  "		
keratoconus 1	Eye Diseases	"Keratoconus 1,  "		Eye
keratoderma palmoplantar deafness	Otorhinolaryngologic Diseases	"Keratoderma, palmoplantar, with deafness,  "		
"keratoderma, palmoplantar"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Meleda disease,  "		
"keratoderma, palmoplantar, epidermolytic"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Epidermolytic palmoplantar keratoderma,  "		
"keratosis follicularis spinulosa decalvans, x-linked"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Keratosis follicularis spinulosa decalvans,  "		
keratosis linearis with ichthyosis congenita and sclerosing keratoderma	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Keratosis linearis with ichthyosis congenita and sclerosing keratoderma,  "		
keratosis palmoplantaris papulosa	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Keratoderma, palmoplantar, punctate type IA,  "		
keratosis palmoplantaris striata 1	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Keratosis palmoplantaris striata I,  "		
keratosis palmoplantaris striata 3	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Keratosis palmoplantaris striata III,  "		
keratosis palmoplantaris striata ii	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Keratosis palmoplantaris striata II,  "		
keratosis palmoplantaris with esophageal cancer	Neoplasms	"Tylosis with esophageal cancer,  "		
keratosis palmoplantaris with periodontopathia and onychogryposis	Musculoskeletal Diseases	"Haim-Munk syndrome,  "		
"keratosis, seborrheic"	Skin and Connective Tissue Diseases	"Keratosis, seborrheic, somatic,  "		
keutel syndrome	Musculoskeletal Diseases	"Keutel syndrome,  "		
kidney calculi		Kidney stones		Liver & kidney
"kidney failure, chronic"		Chronic kidney disease		Liver & kidney
kleefstra syndrome	Musculoskeletal Diseases	"Kleefstra syndrome,  "		
klippel feil syndrome dominant type	Musculoskeletal Diseases	"Klippel-Feil syndrome 1, autosomal dominant,  "		
klippel feil syndrome recessive type	Musculoskeletal Diseases	"Klippel-Feil syndrome 2,  "		
klotho protein		+604824 KLOTHO; KL		
kniest dysplasia	Musculoskeletal Diseases	"Kniest dysplasia,  "		
knobloch syndrome	Nervous System Diseases	"Knobloch syndrome, type 1,  "		
"knuckle pads, leuconychia and sensorineural deafness"	Otorhinolaryngologic Diseases	"Bart-Pumphrey syndrome,  "		
kowarski syndrome	Musculoskeletal Diseases	"Kowarski syndrome,  "		
"krabbe disease, atypical, due to saposin a deficiency"	Nervous System Diseases	"Krabbe disease, atypical,  "		
krause-kivlin syndrome	Musculoskeletal Diseases	"Peters-plus syndrome,  "		
lacrimoauriculodentodigital syndrome	Musculoskeletal Diseases	"LADD syndrome,  "		
"lactase deficiency, congenital"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Lactase deficiency, congenital,  "		
lactate dehydrogenase deficiency type a	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Glycogen storage disease XI,  "		
lactose intolerance		Lactose Intolerance		
"lactose intolerance, adult type"	Digestive System Diseases	"Lactase persistance/nonpersistance,  "		Digestive system
lafora disease	Nervous System Diseases	"Epilepsy, progressive myoclonic 2A (Lafora),  "		
"lamellar ichthyosis, type 2"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Ichthyosis, congenital, autosomal recessive 4A,  "		
"lamellar ichthyosis, type 3"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Ichthyosis, congenital, autosomal recessive 5,  "		
langer mesomelic dysplasia	Musculoskeletal Diseases	"Langer mesomelic dysplasia,  "		
laron syndrome	Musculoskeletal Diseases	"Laron dwarfism,  "		
"larsen syndrome, dominant type"	Musculoskeletal Diseases	"Larsen syndrome,  "		
laryngo onycho cutaneous syndrome	Respiratory Tract Diseases	"Laryngoonychocutaneous syndrome,  "		
late-onset retinal degeneration	Eye Diseases	"Retinal degeneration, late-onset, autosomal dominant,  "		Eye
lathosterolosis	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Lathosterolosis,  "		
lattice corneal dystrophy type 1	Eye Diseases	"Corneal dystrophy, lattice type I,  "		Eye
laurin-sandrow syndrome	Musculoskeletal Diseases	"Mirror-image polydactyly,  "		
ldl-receptor related proteins		*602600 LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 8; LRP8		
leber congenital amaurosis 10	Eye Diseases	"Leber congenital amaurosis 10,  "		Eye
leber congenital amaurosis 12	Eye Diseases	"Leber congenital amaurosis 12,  "		Eye
leber congenital amaurosis 13	Eye Diseases	"Leber congenital amaurosis 13,  "		Eye
leber congenital amaurosis 14	Eye Diseases	"Retinitis pigmentosa, juvenile,  "		Eye
leber congenital amaurosis 3	Eye Diseases	"Retinitis pigmentosa, juvenile, autosomal recessive,  "		Eye
lecithin acyltransferase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Norum disease,  "		
legg-calve-perthes disease	Musculoskeletal Diseases	"Legg-Calve-Perthes disease,  "		
legionnaires' disease	Bacterial Infections and Mycoses	"{Legionaire disease, susceptibility to},  "		Infection
legius syndrome	Skin and Connective Tissue Diseases	"Legius syndrome,  "		
leigh disease	Nervous System Diseases	"Leigh syndrome due to cytochrome c oxidase deficiency,  "		
"leigh syndrome , french canadian type"	Nervous System Diseases	"Leigh syndrome, French-Canadian type,  "		
"leigh syndrome, x-linked"	Nervous System Diseases	"Leigh syndrome, X-linked,  "		
"leishmaniasis, visceral"		Leishmaniasis (visceral)		Infection
"leopard syndrome, 2"	Musculoskeletal Diseases	"LEOPARD syndrome 2,  "		
leri-weil syndrome	Musculoskeletal Diseases	"Leri-Weill dyschondrosteosis,  "		
lethal arthrogryposis with anterior horn cell disease	Musculoskeletal Diseases	"Arthrogryposis, lethal, with anterior horn cell disease,  "		
lethal congenital contractural syndrome 3	Musculoskeletal Diseases	"Lethal congenital contractural syndrome 3,  "		
